SKU,Available,Product,Strain,Price,Cost,Category,Tags,Type,Isretired,Lineage,Distillation,Allergens,Brand,Mastercategory,Netweight,Productgrams,Regulatorycategory,Size,Taxable,THCcontent,UPC,Vendor
16687A,1,Rose | Hybrid | 2g Disposable Vape | 77 Extracts,Rose,20,10,Vape Cartridges,Disposable,Quantity,No,,,,77 Extracts,Vape Cartridges,,2g,Concentrate,,Yes,,,
04F59D,7,Dante's Inferno | Indica | 2g Disposable Vape | 77 Extracts,Dante's Inferno,20,10,Vape Cartridges,Disposable,Quantity,No,,,,77 Extracts,Vape Cartridges,,2g,Concentrate,,Yes,,,Life of Riley LLC
30C36E,2,Meat Breath | Indica | 2g Disposable Vape | 77 Extracts,Meat Breath,20,10,Vape Cartridges,Disposable,Quantity,No,,,,77 Extracts,Vape Cartridges,,2g,Concentrate,,Yes,,,Life of Riley LLC
32549F,0,Oreoz | Hybrid | 2g Disposable Vape | 77 Extracts,OREOZ,20,10,Vape Cartridges,Disposable,Quantity,No,,,,77 Extracts,Vape Cartridges,,2g,Concentrate,,Yes,,,Life of Riley LLC
67216D,0,Runtz | Hybrid | 2g Disposable Vape | 77 Extracts,,20,10,Vape Cartridges,Disposable,Quantity,No,,,,77 Extracts,Vape Cartridges,,2g,Concentrate,,Yes,,,Life of Riley LLC
01077D,2,Bubble Gum OG | Indica | 2G  Disposable | Cure Injoy,,27,13,Vape Cartridges,Disposable,Quantity,No,,,,Cure Injoy,Vape Cartridges,,2g,,,Yes,,,"Green Country Research, Inc."
238EEF,1,Cure Injoy - 2G - Disposable - Papaya Kush,,27,13,Vape Cartridges,Disposable,Quantity,No,,,,Cure Injoy,Vape Cartridges,,2g,Concentrate,,Yes,,,"Green Country Research, Inc."
0A1D8B,0,Cure Injoy - 2G - Disposable - Pink Panties,,27,13,Vape Cartridges,Disposable,Quantity,No,,,,Cure Injoy,Vape Cartridges,,2g,,,Yes,,,"Green Country Research, Inc."
C9D5C7,0,Cure Injoy - 2G - Disposable - RS11,,27,13,Vape Cartridges,Disposable,Quantity,No,,,,Cure Injoy,Vape Cartridges,,2g,Concentrate,,Yes,,,"Green Country Research, Inc."
5F73DD,0,Cure Injoy - 2G - Disposable - Strawnana,,27,13,Vape Cartridges,Disposable,Quantity,No,,,,Cure Injoy,Vape Cartridges,,2g,,,Yes,,,"Green Country Research, Inc."
70509165,0,Lemon Breath | Hybrid | Flower | Pott County Boys,,5,0.87,Flower,Flower,Weight,No,,,,Pott County Boys,Flower,,,Flower/Bud,,Yes,17.57%,,Pot County Boys llp
07698616,0,Cadillac Rainbow | Hybrid | Flower | Pott County Boys,,5,0.87,Flower,Flower,Weight,No,,,,Pott County Boys,Flower,,,Flower/Bud,,Yes,21.74%,,Pot County Boys llp
49652342,0,White Truffle | Indica |  Flower | Pott County Boys,WHITE TRUFFLE,5,1.31,Flower,Flower,Weight,No,,,,Pott County Boys,Flower,,,Flower/Bud,,Yes,25.45%,,Pot County Boys llp
53291427,0,Kush Mints| Hybrid | Flower | Pott County Boys,KUSH MINTS,5,1.18,Flower,Flower,Weight,No,,,,Pott County Boys,Flower,,,Flower/Bud,,Yes,21.25%,,Pot County Boys llp
27520980,0,Ooh La La | Hybrid | Flower | Pott County Boys,Ooh La La,5,0.87,Flower,Flower,Weight,No,,,,Pott County Boys,Flower,,,Flower/Bud,,Yes,23.78%,,Pot County Boys llp
79162989,0,Chem de la Chem | Sativa | Flower | Pott County Boys,Chem de la Chem,5,1.31,Flower,Flower,Weight,No,,,,Pott County Boys,Flower,,,Flower/Bud,,Yes,21.50%,,Pot County Boys llp
13011899,0,Lemonage | Sativa | Flower | Pott County Boys,Lemonage,5,1,Flower,Flower,Weight,No,,,,Pott County Boys,Flower,,,Flower/Bud,,Yes,15.50%,,Pot County Boys llp
27560477,0,Chem de la Chem  | Sativa | Pre- Roll | Pott County Boys,Chem de la Chem,3,0.01,Pre-Rolls,Pre-Roll,Quantity,No,,,,Pott County Boys,Flower,,1g,Flower/Bud,,Yes,16.01%,,Pot County Boys llp
48825941,0,Jamaican Dream | Sativa |  Pre-Roll | Pott County Boys,Jamaican Dream,3,0.01,Pre-Rolls,Pre-Roll,Quantity,No,,,,Pott County Boys,Flower,,1g,Flower/Bud,,Yes,19.01%,,Pot County Boys llp
