ChangeDue,Discounts,Subtotal,GrandTotal,ExternalId
12,2,1000,8,64170135
44,14,7000,56,64168271
2,2,1000,8,64167812
,1,500,4,64167109
12,2,1000,8,64158116
,,1700,17,64157488
,,4400,44,64157311
6.8,10.8,5400,43.2,64155684
45.6,13.6,6800,54.4,64154053
,,6,0.06,64150578
,,2000,20,
42.4,14.4,7200,57.6,64146847
,21.1,38110,360,64144488
,,2200,22,64141103
1.6,9.6,4800,38.4,64139356
,32.4,16200,129.6,64138981
2.8,11.8,5900,47.2,64136331
,,4400,44,64137990
52,12,6000,48,64133977
52,12,6000,48,64133340
,5.01,2501,20,64126782
,,3000,30,
,20.2,10100,80.8,64116694
12.8,11.8,5900,47.2,64115512
,,506,5.06,64113330
1,6,3000,24,64108337
19,39.02,14002,101,64106774
12,12,6000,48,64105292
,10,5000,40,
12,7,3500,28,
11,40.95,14995,109,64104243
,,6,0.06,64110956
4,19,9500,76,64102566
12,2,1000,8,64092020
,5,2500,20,64088752
1,6,3000,24,64087146
,6.8,3403,27.23,64071946
41,,5900,59,64070577
6,6,3000,24,64069160
,10,5000,40,64068706
,10,5000,40,64068651
,1.99,2199,20,64066709
0.8,4.8,2400,19.2,64066512
,5,2500,20,64072302
,,2500,25,
,,3,0.03,64061350
,6,4600,40,64061006
6,6,3000,24,64060132
,8,3500,27,64059186
16,11,5500,44,64059035
,,3500,35,
10,,3000,30,64035262
,,14000,140,
,,42,0.42,64027986
,,42,0.42,64027913
5,,3500,35,64026031
1,,1900,19,64022316
40,,6000,60,64020975
3,,4200,42,64017488
6,12.02,4602,34,64023863
8.8,7.8,3900,31.2,64007793
3.54,20.54,13700,116.46,64008229
,,3500,35,64005521
10,,5000,50,64002735
,21,4200,21,64002076
,7,3500,28,
12,22,11000,88,63989556
2,2,1000,8,63988401
4,4,2000,16,63984295
,7,3500,28,
,13,6500,52,63980740
,4.8,2400,19.2,63976646
,,1000,10,63976301
,2,1000,8,63975366
,8.8,4400,35.2,63974135
,5,2500,20,
5,,3500,35,
,8.8,4400,35.2,63969448
60,10,5000,40,63968530
16.8,15.8,7900,63.2,63968296
,16.99,6199,45,63965483
,18.8,9400,75.2,63964938
,12,6000,48,63963892
,10.8,5400,43.2,63964823
,9.6,4800,38.4,63963122
8,8,4000,32,63962651
92,2,1000,8,63962502
8,3,1500,12,63962375
,5,2500,20,63961791
1.2,12.2,6100,48.8,63960887
,12,6000,48,63960635
16,6,3000,24,
,5.01,3001,25,63955137
,2,1000,8,63954677
12,7,3500,28,63961295
,209.08,104508,836,63953824
9.2,10.2,5100,40.8,63950607
,6,3000,24,63950229
88,28,14000,112,63948148
,,2000,20,63946670
,80.08,40008,320,63943251
,8,2500,17,63943804
,,3000,30,
,,6000,60,
,,2500,25,
15,,16500,165,63920095
5,,3500,35,63919757
,,2400,24,63919609
,,6000,60,63911173
,,5000,50,63908572
,,3000,30,
20,5,3500,30,63902424
,5.01,3001,25,63902485
10,5,3500,30,63899641
,,12400,124,63899717
9,,3100,31,63896613
20,,3000,30,
10,,9000,90,63887610
15,,500,5,63886945
5,,3500,35,
15,,2500,25,63879336
,,8300,83,63874084
40,,3500,35,63862376
,,2500,25,
,,2000,20,63861180
10,,3000,30,63860965
2,,1800,18,63854281
15,13.52,15852,145,63854219
,,3000,30,63850274
26,5,7900,74,63840810
3,,1700,17,63831502
,,1500,15,63827631
7.75,12.75,8500,72.25,63827018
,4.98,5998,55,63825182
10,,3000,30,63822106
10,,3000,30,63819933
10,,3000,30,63817439
,,1000,10,63816707
5,,3500,35,63815827
,,11400,114,63815197
,23.11,8911,66,63815022
,,9000,90,63814013
6,,5400,54,63812706
11,,900,9,63811552
2,,1800,18,63810337
,,3000,30,
,,7000,70,
70,,3000,30,
,,1200,12,63793823
,,1800,18,63793278
,,2500,25,
,,2100,21,63775143
5,,13500,135,
40,,6000,60,63774281
,,6000,60,63773765
16,,6400,64,63771783
,,500,5,63766535
30,,7000,70,63765721
3,,4200,42,63765521
,,2000,20,63765051
,,1700,17,63764977
,0.02,11002,110,63765079
,5,3000,25,
5,,3500,35,63739934
,,3500,35,63739243
,,3400,34,63736406
,29.94,22500,195.06,63734433
,29,12900,100,63733377
10,,3000,30,63732286
,,3500,35,63731035
9,,3100,31,63717828
,,3000,30,
15,,500,5,63716679
,,7000,70,
5,,3500,35,63713954
6.4,8.4,4200,33.6,63713898
,,1000,10,63713706
5,,3500,35,63713419
,5,2500,20,
,,5000,50,63712834
46,,5400,54,63712686
3.2,4.2,2100,16.8,63711579
,,8500,85,
17,,14300,143,63709449
0.4,8.4,4200,33.6,63708453
6.4,8.4,4200,33.6,63707814
15,,2500,25,63705635
12,7,3500,28,
,,1000,10,63705181
,,1000,10,63705025
5,,2500,25,63704830
