PackageID,Product,MetrcQty,CurrentQty,Supplier,Cost,CostPerItem,Synced,OriginalQuantity,MetrcTag,ExternalID,ActivatedAt,MetrcName
D000009168,Super Lemon Haze small flowers,,625.18,"Blackwell Investments, LLC",$875.25 ,$1.40 ,Yes,625.18,1A40E01000173ED000009168,15589537,5/7/2025,Super Lemon Haze small flowers
D000009172,Zombi Salsa small flowers,,453.59,"Blackwell Investments, LLC",$635.03 ,$1.40 ,Yes,453.59,1A40E01000173ED000009172,15589479,5/7/2025,Zombi Salsa small flowers
D000009135,Animal Tsunami small flowers,,907.18,"Blackwell Investments, LLC","$1,270.05 ",$1.40 ,Yes,907.18,1A40E01000173ED000009135,15538053,5/2/2025,Animal Tsunami small flowers
D000009137,King Sherb small flowers,,907.18,"Blackwell Investments, LLC","$1,270.05 ",$1.40 ,Yes,907.18,1A40E01000173ED000009137,15538058,5/2/2025,King Sherb small flowers
D000009136,Blackwell - Cap Junky small flowers,,907.18,"Blackwell Investments, LLC","$1,270.05 ",$1.40 ,Yes,907.18,1A40E01000173ED000009136,15538055,5/2/2025,Blackwell - Cap Junky small flowers
D000009138,Super Lemon Haze small flowers,,907.18,"Blackwell Investments, LLC","$1,270.05 ",$1.40 ,Yes,907.18,1A40E01000173ED000009138,15538062,5/2/2025,Super Lemon Haze small flowers
9000057485,Lucky's CO2 Joint - Green Crack - 2g,,9,JKJ processing inc,$36.00 ,$4.00 ,Yes,9,1A40E0100004B19000057485,15443545,5/1/2025,Lucky's CO2 Joint - Green Crack - 2g
9000057479,JKJ Lollipop - Watermelon,,10,JKJ processing inc,$25.00 ,$2.50 ,Yes,10,1A40E0100004B19000057479,15443529,5/1/2025,JKJ Lollipop - Watermelon
0000035206,Gold Rush Yummy Gummy Wild Cherry 2000mg,,,"C3E Management, LLC",$0.01 ,$0.01 ,Yes,1,1A40E0100014180000035206,15520508,5/1/2025,Gold Rush Yummy Gummy Wild Cherry 2000mg
0000035205,Gold Rush - Cake Crasher 1g,,1,"C3E Management, LLC",$0.01 ,$0.01 ,Yes,1,1A40E0100014180000035205,15520465,5/1/2025,Gold Rush - Cake Crasher 1g
D000009120,Blackwell - Cap Junky small flowers,,907.18,"Blackwell Investments, LLC","$1,270.05 ",$1.40 ,Yes,907.18,1A40E01000173ED000009120,15522458,5/1/2025,Blackwell - Cap Junky small flowers
9000059463,Baller Jar - Snickerdoodle Cookies - 28g,,4,JKJ processing inc,$150.00 ,$37.50 ,Yes,4,1A40E0100004B19000059463,15519534,5/2/2025,Baller Jar - Snickerdoodle Cookies - 28g
D000009087,Platinum LCG small flowers,,2141.61,"Blackwell Investments, LLC","$2,919.85 ",$1.40 ,Yes,2085.61,1A40E01000173ED000009087,15510896,4/30/2025,Platinum LCG small flowers
D000009070,King Sherb small flowers,,453.59,"Blackwell Investments, LLC",$635.03 ,$1.40 ,Yes,453.59,1A40E01000173ED000009070,15489494,4/29/2025,King Sherb small flowers
D000009068,Platinum Kush Breath small flowers,,453.59,"Blackwell Investments, LLC",$635.03 ,$1.40 ,Yes,453.59,1A40E01000173ED000009068,15489483,4/29/2025,Platinum Kush Breath small flowers
D000009069,Blackwell - Cap Junky small flowers,,935.18,"Blackwell Investments, LLC","$1,270.05 ",$1.40 ,Yes,907.18,1A40E01000173ED000009069,15489513,4/29/2025,Blackwell - Cap Junky small flowers
D000009065,Platinum LCG flowers,,145.54,"Blackwell Investments, LLC",$289.39 ,$2.20 ,Yes,131.54,1A40E01000173ED000009065,15489729,4/29/2025,Platinum LCG flowers
D000009066,Platinum LCG small flowers,,907.18,"Blackwell Investments, LLC","$1,270.05 ",$1.40 ,Yes,907.18,1A40E01000173ED000009066,15489730,4/29/2025,Platinum LCG small flowers
D000009058,Blackwell - Oreoz small flowers,,907.18,"Blackwell Investments, LLC","$1,270.05 ",$1.40 ,Yes,907.18,1A40E01000173ED000009058,15468302,4/28/2025,Blackwell - Oreoz small flowers
D000009059,Super Lemon Haze small flowers,,907.18,"Blackwell Investments, LLC","$1,270.05 ",$1.40 ,Yes,907.18,1A40E01000173ED000009059,15467781,4/28/2025,Super Lemon Haze small flowers
D000009057,Zombi Salsa flowers,,857.29,"Blackwell Investments, LLC","$1,886.04 ",$2.20 ,Yes,857.29,1A40E01000173ED000009057,15467782,4/28/2025,Zombi Salsa flowers
B000033947,LM | Sunburn | 1g Kief Preroll,,1,C4EXTRACTS LLC,$0.01 ,$0.01 ,Yes,1,1A40E0100002E2B000033947,15439632,4/25/2025,LM | Sunburn | 1g Kief Preroll
B000033941,LM | Peanut Butter Apple | 1g Kief Preroll,,1,C4EXTRACTS LLC,$0.01 ,$0.01 ,Yes,1,1A40E0100002E2B000033941,15439577,4/25/2025,LM | Peanut Butter Apple | 1g Kief Preroll
B000033944,LM | Purple Milk | 1g Kief Preroll,,3,C4EXTRACTS LLC,$0.03 ,$0.01 ,Yes,3,1A40E0100002E2B000033944,15439578,4/25/2025,LM | Purple Milk | 1g Kief Preroll
B000032475,Moon Dust Nanotech Gummies 50mg - Peach,,10,Planet Group LLC,$100.00 ,$10.00 ,Yes,10,1A40E01000282FB000032475,15432955,4/25/2025,Moon Dust Nano Gummies - 1000mg - Peach
B000032472,Batch Moon Dust Distillate Gummies 100mg - Sour Apple 2000MG,,10,Planet Group LLC,$120.00 ,$12.00 ,Yes,10,1A40E01000282FB000032472,15432786,4/25/2025,Moon Dust Distillate Gummies - 2000mg - Sour Apple
B000032473,Moon Dust Distillate Gummies 100mg - Watermelon 2000mg,,10,Planet Group LLC,$120.00 ,$12.00 ,Yes,10,1A40E01000282FB000032473,15432926,4/25/2025,Moon Dust Distillate Gummies - 2000mg - Watermelon
B000032468,Moon Dust Infused 1g Preroll - Watermelon Bubblegum,,12,Planet Group LLC,$60.00 ,$5.00 ,Yes,12,1A40E01000282FB000032468,15432923,4/25/2025,Moon Dust Infused 1g Preroll - Watermelon Bubblegum
B000032465,Moon Dust Infused 1g Preroll - Cosmic Apple,,12,Planet Group LLC,$60.00 ,$5.00 ,Yes,12,1A40E01000282FB000032465,15432782,4/25/2025,Moon Dust Infused 1g Preroll - Cosmic Apple
B000032467,Moon Dust Infused 1g Preroll - Strawberry Sunrise,,12,Planet Group LLC,$60.00 ,$5.00 ,Yes,12,1A40E01000282FB000032467,15432784,4/25/2025,Moon Dust Infused 1g Preroll - Strawberry Sunrise
B000032466,Moon Dust Infused 1g Preroll - Killer Kiwi,,12,Planet Group LLC,$60.00 ,$5.00 ,Yes,12,1A40E01000282FB000032466,15432783,4/25/2025,Moon Dust Infused 1g Preroll - Killer Kiwi
B000032464,Moon Dust Infused 1g Preroll - Blue Razz Burst,,12,Planet Group LLC,$60.00 ,$5.00 ,Yes,12,1A40E01000282FB000032464,15432922,4/25/2025,Moon Dust Infused 1g Preroll - Blue Razz Burst
B000032450,Moon Dust Nano Gummies - 1000mg - Cherry,,10,Planet Group LLC,$100.00 ,$10.00 ,Yes,10,1A40E01000282FB000032450,15432770,4/25/2025,Moon Dust Nano Gummies - 1000mg - Cherry
B000032449,Moon Dust Nano Gummies - 1000mg - Blue Raspberry,,10,Planet Group LLC,$100.00 ,$10.00 ,Yes,10,1A40E01000282FB000032449,15432769,4/25/2025,Moon Dust Nano Gummies - 1000mg - Blue Raspberry
B000032456,Moon Dust Nanotech Gummies 50mg - Watermelon,,10,Planet Group LLC,$100.00 ,$10.00 ,Yes,10,1A40E01000282FB000032456,15432773,4/25/2025,Moon Dust Nano Gummies - 1000mg - Watermelon
B000032453,Moon Dust Nano Gummies - 1000mg - Pineapple,,10,Planet Group LLC,$100.00 ,$10.00 ,Yes,10,1A40E01000282FB000032453,15432772,4/25/2025,Moon Dust Nano Gummies - 1000mg - Pineapple
7000038019,Stoners - 1G - Peach Berry,,10,OK KIND CONNECTION PROCESSING LLC,$40.00 ,$4.00 ,Yes,10,1A40E0100006987000038019,15386465,4/24/2025,Stoners - 1G - Peach Berry
7000038004,Live Panda - El Chapo - 2G,,10,OK KIND CONNECTION PROCESSING LLC,$155.00 ,$15.50 ,Yes,10,1A40E0100006987000038004,15386456,4/24/2025,Live Panda - El Chapo - 2G
B000001048,Chungus Gifts,,10,Tritium LLC,$0.10 ,$0.01 ,Yes,10,1A40E010002AEBB000001048,15443909,4/24/2025,Chungus Infused Preroll 1.2g
D000008953,Platinum Kush Breath small flowers,,2267.95,"Blackwell Investments, LLC","$3,175.13 ",$1.40 ,Yes,2267.95,1A40E01000173ED000008953,15389463,4/19/2025,Platinum Kush Breath small flowers
D000008951,Super Lemon Haze small flowers,,272,"Blackwell Investments, LLC",$380.80 ,$1.40 ,Yes,272,1A40E01000173ED000008951,15389457,4/19/2025,Super Lemon Haze small flowers
D000008950,Super Lemon Haze flowers,,907.18,"Blackwell Investments, LLC","$1,995.80 ",$2.20 ,Yes,907.18,1A40E01000173ED000008950,15389456,4/19/2025,Super Lemon Haze flowers
D000008952,Platinum Kush Breath flowers,,907.18,"Blackwell Investments, LLC","$1,995.80 ",$2.20 ,Yes,907.18,1A40E01000173ED000008952,15389462,4/19/2025,Platinum Kush Breath flowers
D000062517,Full Spec Vape Carts - Twisted Tang - 1g,,5,"Okie Botanical Extractors, LLC",$17.50 ,$3.50 ,Yes,5,1A40E0100002A3D000062517,15350382,4/28/2025,Full Spec Vape Carts - Twisted Tang - 1g
D000062510,Full Spec Vape Carts - Purple Urkle - 1g,,5,"Okie Botanical Extractors, LLC",$17.50 ,$3.50 ,Yes,5,1A40E0100002A3D000062510,15350380,4/20/2025,Full Spec Vape Carts - Purple Urkle - 1g
D000062508,Full Spec Vape Carts - Peanut Butter Kiss - 1g,,5,"Okie Botanical Extractors, LLC",$17.50 ,$3.50 ,Yes,5,1A40E0100002A3D000062508,15350282,4/20/2025,Full Spec Vape Carts - Peanut Butter Kiss - 1g
